Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,33220.000000,33220.000000,32520.000000,32980.000000,28309.726563,12668600
2016-11-24,32980.000000,33040.000000,32660.000000,33000.000000,28326.886719,7757150
2016-11-25,32820.000000,33040.000000,32660.000000,33000.000000,28326.886719,6276900
2016-11-28,33000.000000,33620.000000,32800.000000,33540.000000,28790.425781,13294050
2016-11-29,33800.000000,33960.000000,33380.000000,33540.000000,28790.425781,18081300
2016-11-30,33540.000000,34940.000000,33540.000000,34920.000000,29975.000000,28535200
2016-12-01,34800.000000,35060.000000,34660.000000,34980.000000,30026.505859,15535350
2016-12-02,34480.000000,34760.000000,34140.000000,34540.000000,29648.812500,15352950
2016-12-05,34340.000000,34680.000000,34220.000000,34360.000000,29494.302734,8484600
2016-12-06,34440.000000,35200.000000,34400.000000,34960.000000,30009.335938,14001800
2016-12-07,35040.000000,35480.000000,35040.000000,35440.000000,30421.365234,9603650
2016-12-08,35980.000000,36020.000000,35520.000000,35800.000000,30730.382813,16462550
2016-12-09,35900.000000,35900.000000,35400.000000,35600.000000,30558.703125,10652450
2016-12-12,34660.000000,35360.000000,34660.000000,35040.000000,30078.007813,11414450
2016-12-13,34620.000000,35440.000000,34620.000000,35320.000000,30318.357422,11684450
2016-12-14,35560.000000,35680.000000,35280.000000,35540.000000,30507.199219,7455100
2016-12-15,34820.000000,35500.000000,34820.000000,35180.000000,30198.185547,5773550
2016-12-16,35300.000000,36020.000000,35200.000000,35860.000000,30781.886719,11747700
2016-12-19,35620.000000,36380.000000,35620.000000,35900.000000,30816.224609,5435800
2016-12-20,35920.000000,36400.000000,35840.000000,36240.000000,31108.066406,7615200
2016-12-21,36360.000000,36600.000000,36020.000000,36100.000000,30987.904297,6552100
2016-12-22,36260.000000,36300.000000,35980.000000,36180.000000,31056.578125,6354600
2016-12-23,36020.000000,36080.000000,35600.000000,35640.000000,30593.042969,8334850
2016-12-26,35600.000000,36000.000000,35560.000000,35960.000000,30867.726563,4823600
2016-12-27,35980.000000,36200.000000,35860.000000,35980.000000,30884.888672,4653450
2016-12-28,35840.000000,35980.000000,35600.000000,35760.000000,31172.554688,6662900
2016-12-29,35420.000000,36040.000000,35400.000000,36040.000000,31416.642578,7516450
2017-01-02,35980.000000,36240.000000,35880.000000,36100.000000,31468.935547,4650600
2017-01-03,36280.000000,36620.000000,36020.000000,36480.000000,31800.197266,7357650
2017-01-04,36500.000000,36520.000000,36100.000000,36160.000000,31521.253906,7971750
2017-01-05,36060.000000,36060.000000,35540.000000,35560.000000,30998.218750,10967450
2017-01-06,36180.000000,36440.000000,36040.000000,36200.000000,31556.121094,8880950
2017-01-09,36600.000000,37500.000000,36560.000000,37220.000000,32445.257813,13194900
2017-01-10,37280.000000,37400.000000,37080.000000,37240.000000,32462.707031,9099800
2017-01-11,37520.000000,38560.000000,37420.000000,38280.000000,33369.292969,12018150
2017-01-12,38000.000000,38800.000000,37980.000000,38800.000000,33822.574219,11669150
2017-01-13,38100.000000,38320.000000,37460.000000,37460.000000,32654.486328,15954450
2017-01-16,36860.000000,37820.000000,36320.000000,36660.000000,31957.103516,16611500
2017-01-17,36580.000000,37460.000000,36580.000000,36960.000000,32218.626953,8150700
2017-01-18,37040.000000,37500.000000,36620.000000,36940.000000,32201.197266,8875400
2017-01-19,37720.000000,37920.000000,37020.000000,37480.000000,32671.916016,9418900
2017-01-20,37120.000000,37420.000000,36880.000000,37200.000000,32427.828125,9185000
2017-01-23,37200.000000,38060.000000,37000.000000,38060.000000,33177.511719,8810400
2017-01-24,38120.000000,38580.000000,37880.000000,38160.000000,33264.679688,11048750
2017-01-25,38340.000000,39400.000000,38320.000000,39400.000000,34345.613281,13433850
2017-01-26,39420.000000,40000.000000,39420.000000,39900.000000,34781.460938,15214500
2017-01-31,39900.000000,39900.000000,39460.000000,39460.000000,34397.906250,17992200
2017-02-01,39540.000000,39660.000000,39040.000000,39120.000000,34101.519531,14150400
2017-02-02,39600.000000,39660.000000,39200.000000,39360.000000,34310.742188,15029300
2017-02-03,39400.000000,39500.000000,39180.000000,39460.000000,34397.906250,10386350
2017-02-06,39580.000000,39660.000000,39140.000000,39560.000000,34485.085938,8860700
2017-02-07,39560.000000,39580.000000,38760.000000,38820.000000,33840.007813,14041800
2017-02-08,38740.000000,38780.000000,38200.000000,38400.000000,33473.898438,17092950
2017-02-09,38780.000000,38840.000000,38220.000000,38400.000000,33473.898438,13694150
2017-02-10,38400.000000,38760.000000,38300.000000,38360.000000,33439.023438,11020750
2017-02-13,37740.000000,38060.000000,37720.000000,37960.000000,33090.339844,11102050
2017-02-14,37960.000000,38260.000000,37320.000000,37580.000000,32759.085938,13124150
2017-02-15,37080.000000,37960.000000,37080.000000,37720.000000,32881.132813,14191550
2017-02-16,37800.000000,38360.000000,37780.000000,38020.000000,33142.632813,10226350
2017-02-17,37560.000000,38040.000000,37280.000000,37860.000000,33003.160156,15377450
2017-02-20,38220.000000,38780.000000,38160.000000,38660.000000,33700.539063,7485800
2017-02-21,38540.000000,39560.000000,38420.000000,38940.000000,33944.613281,10562600
2017-02-22,39000.000000,39340.000000,38980.000000,39300.000000,34258.437500,8539450
